전국 지역별,2014년,2015년,2016년,2017년,2018년
전국,"50,747","51,015","51,218","51,362","51,607"
서울,"9,975","9,941","9,843","9,766","9,705"
부산,"3,452","3,452","3,447","3,424","3,400"
대구,"2,475","2,469","2,461","2,458","2,450"
인천,"2,862","2,883","2,907","2,924","2,939"
광주,"1,505","1,506","1,502","1,495","1,493"
대전,"1,553","1,542","1,536","1,528","1,518"
울산,"1,151","1,164","1,166","1,159","1,154"
세종,132,187,234,266,304
경기,"12,282","12,423","12,600","12,786","13,031"
강원,"1,510","1,517","1,521","1,521","1,521"
충북,"1,578","1,589","1,601","1,609","1,619"
충남,"2,088","2,103","2,126","2,153","2,180"
전북,"1,829","1,835","1,835","1,829","1,820"
전남,"1,792","1,797","1,798","1,795","1,790"
경북,"2,671","2,678","2,683","2,675","2,674"
경남,"3,307","3,330","3,338","3,339","3,356"
제주,583,599,618,635,653