연번,구분,시설물명,주소,위도,경도,관할구역,연락처,데이터기준일자
1,소방서,조치원소방서 ,세종특별자치시 조치원읍 세종로 2439,36.60479683,127.2889181,"소정면, 전의면, 전동면, 조치원읍, 연서면, 연동면, 부강면",044-300-8119,2019-05-13
2,소방서,세종소방서,세종특별자치시 절재로 301,36.50601488,127.2739352,"아름동, 종촌동, 도담동, 연기면, 어진동, 한솔동, 금남면, 장군면",044-300-6119,2019-05-13
3,119안전센터,조치원119안전센터,세종특별자치시 조치원읍 세종로 2439,36.60479683,127.2889181,조치원읍,044-300-8502,2019-05-13
4,119안전센터,전의119안전센터,세종특별자치시 전의면 서정길 46-6,36.68647966,127.1923418,"전의면, 소정면",044-300-8522,2019-05-13
5,119안전센터,부강119안전센터,세종특별자치시 부강면 청연로 7,36.52834441,127.3721168,"부강면, 연동면",044-300-8542,2019-05-13
6,119안전센터,한솔119안전센터,세종특별자치시 노을3로 29,36.48050107,127.2592076,"한솔동, 다정동, 새롬동, 나성동, 가람동, 장군면",044-300-8563,2019-05-13
7,119안전센터,아름119안전센터,세종특별자치시 보듬3로 119(아름동),36.51141552,127.2466441,"고운동, 아름동, 종촌동, 연기면 ",044-300-8582,2019-05-13
8,119안전센터,어진119안전센터,세종특별자치시 절재로 301(어진동),36.50601488,127.2739352,"도담동, 어진동 ",044-300-8581,2019-05-13
9,119안전센터,연서119안전센터,세종특별자치시 도신고복로 306(연서면 청라리 297),36.58951441,127.2022248,"연서면,전동면",044-300-8311,2019-05-13
10,119안전센터,보람119안전센터,세종특별자치시 남세종로 436(보람동),36.47794768,127.2914379,"대평동, 보람동, 소담동, 반곡동, 금남면 ",044-300-8621,2019-05-13
11,119지역대,원리119지역대,세종특별자치시 조치원읍 새내로 100 ,36.60076144,127.2983998,세종특별자치시 조치원읍 일원,,2019-05-13
12,119지역대,연서면119지역대,세종특별자치시 연서면 대첩로 238 ,36.59257073,127.2715174,세종특별자치시 연서면 일원,,2019-05-13
13,119지역대,연서면 봉암119지역대,세종특별자치시 연서면 봉암길 119-3,36.56075417,127.2858022,세종특별자치시 연서면 봉암리 일원,,2019-05-13
14,119지역대,전동면119지역대,세종특별자치시 전동면 운주산로 386 ,36.65604867,127.263729,세종특별자치시 전동면 일원,,2019-05-13
15,119지역대,소정면119지역대,세종특별자치시 소정면 학교말길 17-3 ,36.72165115,127.1582116,세종특별자치시 소정면 일원,,2019-05-13
16,119지역대,금남면119지역대 ,세종특별자치시 금남면 용포로 59 ,36.46411188,127.28054,세종특별자치시 금남면 일원 ,,2019-05-13
17,119지역대,연기면119지역대,세종특별자치시 연기면 당산로 113-3(연기면의용소방대),36.5441212,127.2758917,세종특별자치시 연기면 일원 ,,2019-05-13
18,119지역대,장군면119지역대,세종특별자치시 장군면 장척로 387-4,36.49654061,127.2041824,세종특별자치시 장군면 일원 ,,2019-05-13
19,119지역대,연동면119지역대,세종특별자치시 연동면 내송길 18 ,36.55875661,127.3266955,세종특별자치시 연동면 일원 ,,2019-05-13