업소명,소재지,위도,경도,전화번호,업태,주된음식,행정동,(재)지정사항,데이터기준일자
삼다해물뚝배기,제주특별자치도 서귀포시 일주동로 8167 (하효동),33.260322,126.6148546,064-733-0591,한식,해물뚝배기,효돈동,재지정,2018-11-01
미향해장국효돈점,제주특별자치도 서귀포시 효돈로 11 (신효동),33.2608222,126.6007439,064-767-6767,한식,해장국,효돈동,재지정,2018-11-01
낭밭식당,제주특별자치도 서귀포시 표선면 서성일로 31,33.3948805,126.8007685,064-787-0414,한식,돼지불고기,표선면,재지정,2018-11-01
돌집식당,제주특별자치도 서귀포시 표선면 서성일로 23,33.3940309,126.8006415,064-787-3720,한식,흑돼지구이,표선면,재지정,2018-11-01
성읍타운,제주특별자치도 서귀포시 표선면 성읍민속로 191,33.3932437,126.7963529,064-787-8005,한식,돼지불고기,표선면,재지정,2018-11-01
목장원식당바스메,제주특별자치도 서귀포시 표선면 번영로 2524,33.4136187,126.7527705,064-787-3930,한식,말고기요리,표선면,재지정,2018-11-01
강해일횟집,제주특별자치도 서귀포시 표선면 표선당포로 14,33.3257158,126.844434,064-787-7270,일식,활어회,표선면,재지정,2018-11-01
오라방식당,제주특별자치도 서귀포시 표선면 성읍서문로 19,33.3860871,126.7995673,064-787-7878,한식,돼지불고기,표선면,재지정,2018-11-01
금데기식당,제주특별자치도 서귀포시 표선면 표선당포로 19-5,33.3263531,126.8441227,064-787-1575,일식,활어회,표선면,재지정,2018-11-01
국수앤백사장회센터,제주특별자치도 서귀포시 표선면 표선당포로 19-3,33.3262302,126.8442811,064-787-5630,일식,활어회,표선면,재지정,2018-11-01
대우반점,제주특별자치도 서귀포시 표선면 표선중앙로 66,33.3270813,126.8316509,064-787-2577,중식,짜장면. 짬뽕,표선면,재지정,2018-11-01
다미진,제주특별자치도 서귀포시 표선면 민속해안로 578-1,33.3250737,126.8441192,064-787-5050,일식,활어회,표선면,재지정,2018-11-01
해뜸,제주특별자치도 서귀포시 표선면 민속해안로 584,33.3229914,126.8248631,064-787-7170,한식,흑돼지구이,표선면,재지정,2018-11-01
임숙현돼지주물럭,제주특별자치도 서귀포시 표선면 표선동서로 70,33.3299649,126.838304,064-787-9155,한식,돼지주물럭,표선면,재지정,2018-11-01
멋진녀석들,제주특별자치도 서귀포시 표선면 민속해안로 570,33.3126457,126.8232437,064-787-7557,한식,흑돼지구이,표선면,재지정,2018-11-01
고금삼계탕,제주특별자치도 서귀포시 표선면 번영로 3428번길 7,33.3425479,126.8262043,064-787-6674,한식,삼계탕,표선면,재지정,2018-11-01
진국옹기설렁탕,제주특별자치도 서귀포시 중앙로79번길 10 (서귀동),33.2512764,126.5603458,064-763-1750,한식,모듬전골. 설렁탕,천지동,재지정,2018-11-01
거부한정식서귀포점,제주특별자치도 서귀포시 남성중로 2-3 (서홍동),33.2434045,126.5598021,064-762-4115,한식,한정식,천지동,재지정,2018-11-01
천지한우촌식육식당,제주특별자치도 서귀포시 서문로29번길 28 (서귀동),33.2478572,126.5595338,064-733-9289,한식,한우구이,천지동,재지정,2018-11-01
진주식당,제주특별자치도 서귀포시 태평로 353 (서귀동),33.2465959,126.5606779,064-762-5158,한식,해물뚝배기.조림,천지동,재지정,2018-11-01
관촌밀면,제주특별자치도 서귀포시 서문로29번길 13 (서귀동),33.2492558,126.5594036,064-732-5585,한식,밀면,천지동,재지정,2018-11-01
네거리식당,제주특별자치도 서귀포시 서문로29번길 20 (서귀동),33.2485206,126.559362,064-762-5513,한식,갈치요리,천지동,재지정,2018-11-01
도새기먹는날,제주특별자치도 서귀포시 서문로41번길 16 (서귀동),33.2486867,126.5596146,064-733-7587,한식,흑돼지구이,천지동,재지정,2018-11-01
우정회센타,제주특별자치도 서귀포시 중앙로54번길 32 (서귀동),33.2496086,126.5633187,064-733-8522,일식,생선회.초밥.물회,중앙동,재지정,2018-11-01
독도참치,제주특별자치도 서귀포시 동문로 62-1 (서귀동),33.2491066,126.5668572,064-762-5656,일식,참치요리,중앙동,재지정,2018-11-01
명가솥뚜껑,제주특별자치도 서귀포시 중앙로62번길 36 (서귀동),33.2513571,126.5649866,064-763-0844,한식,흑돼지구이,중앙동,재지정,2018-11-01
다올터,제주특별자치도 서귀포시 동문동로 6 (서귀동),33.2498483,126.5674471,064-732-6161,한식,해장국,중앙동,재지정,2018-11-01
해심갈비,제주특별자치도 서귀포시 천제연로 203-4 (중문동),33.2519011,126.4266075,064-738-2820,한식,흑돼지구이. 양념갈비,중문동,재지정,2018-11-01
큰갯물횟집,제주특별자치도 서귀포시 대포로 161 (대포동),33.2394129,126.4382383,064-738-1625,일식,활어회,중문동,재지정,2018-11-01
대포동산횟집,제주특별자치도 서귀포시 이어도로 164 (대포동),33.2392452,126.4393839,064-738-6060,일식,회정식,중문동,재지정,2018-11-01
대기정,제주특별자치도 서귀포시 이어도로 41 (대포동),33.2403093,126.4286681,064-739-1041,한식,통갈치구이. 갈치조림,중문동,재지정,2018-11-01
대포해송,제주특별자치도 서귀포시 이어도로 200-7 (대포동),33.2389485,126.442831,064-738-4060,일식,활어회,중문동,재지정,2018-11-01
사해방,제주특별자치도 서귀포시 중문관광로 338 (대포동),33.2501856,126.4315441,064-738-7775,중식,짜장. 짬뽕,중문동,재지정,2018-11-01
오르막가든,제주특별자치도 서귀포시 대포중앙로 12 (대포동),33.2501584,126.4332518,064-738-7755,한식,흑돼지구이,중문동,재지정,2018-11-01
예지원,제주특별자치도 서귀포시 천제연로 129 (중문동),33.2540172,126.4193596,064-738-9577,한식,갈치조림. 전복뚝배기,중문동,재지정,2018-11-01
덕성원본점,제주특별자치도 서귀포시 태평로401번길 4 (서귀동),33.2449505,126.5635161,064-762-2402,중식,탕수육. 꽃게짬뽕,정방동,재지정,2018-11-01
금바우,제주특별자치도 서귀포시 태평로371번길 4 (서귀동),33.2455741,126.5611539,064-733-1517,한식,흑돼지구이. 갈비탕,정방동,재지정,2018-11-01
쌍둥이횟집본점,제주특별자치도 서귀포시 중정로62번길 14 (서귀동),33.246589,126.5629979,064-762-0478,일식,활어회. 매운탕,정방동,재지정,2018-11-01
수희식당,제주특별자치도 서귀포시 태평로 377 (서귀동),33.245398,126.5612867,064-762-0777,한식,전복뚝배기. 조림,정방동,재지정,2018-11-01
만사성,제주특별자치도 서귀포시 소암로 37,33.2449864,126.569682,064-762-3636,중식,짜장면. 짬뽕,정방동,재지정,2018-11-01
신우성송도횟집,제주특별자치도 서귀포시 중문관광로72번길 29-9 (색달동),33.2496778,126.4113633,064- 738-3191,일식,활어회. 고등어.갈치구이,예래동,재지정,2018-11-01
신라원중문점,제주특별자치도 서귀포시 천제연로 107 (색달동),33.2548767,126.4171862,064- 739-3395,한식,말고기. 흑돼지구이,예래동,재지정,2018-11-01
덤장중문점,제주특별자치도 서귀포시 천제연로 17 (색달동),33.2576625,126.4082795,064- 738-2550,한식,갈치조림. 고등어조림,예래동,재지정,2018-11-01
흑돼지구이집하영,제주특별자치도 서귀포시 천제연로 101 (색달동),33.2550941,126.4166328,064-738-6011,한식,흑돼지오겹살. 전복돌솥밥,예래동,재지정,2018-11-01
착한전복,제주특별자치도 서귀포시 천제연로 119 (색달동),33.254619,126.4182628,064-738-8455,한식,전복코스요리,예래동,재지정,2018-11-01
미향해장국 중문점,제주특별자치도 서귀포시 일주서로 962 (색달동),33.2583289,126.4080818,064-739-8868,한식,해장국,예래동,재지정,2018-11-01
쉬는팡,제주특별자치도 서귀포시 상예로 244 (상예동),33.2777041,126.3953828,064-738-5833,한식,흑돼지구이. 동치미국수,예래동,재지정,2018-11-01
목포고을본점,제주특별자치도 서귀포시 일주서로 968-5 (색달동),33.2584159,126.4071294,064-738-5551,한식,흑돼지구이. 김치찌개,예래동,재지정,2018-11-01
황토기와집,제주특별자치도 서귀포시 일주서로 1102 (상예동),33.2638597,126.3953564,064-739-0575,한식,옹심이손칼국수. 파전,예래동,재지정,2018-11-01
이드레국수,제주특별자치도 서귀포시 천제연로 93 (색달동),33.2552657,126.4157369,064-738-8777,한식,고기국수.돔베고기,예래동,재지정,2018-11-01
삼미흑돼지,제주특별자치도 서귀포시 색달중앙로 33,33.2718999,126.4130358,064-739-9392,한식,흑돼지구이. 갈비탕,예래동,재지정,2018-11-01
약촌삼계탕,제주특별자치도 서귀포시 중산간동로 7750 (토평동),33.268092,126.5879128,064- 733-5377,한식,삼계탕,영천동,재지정,2018-11-01
흑한우명품관,제주특별자치도 서귀포시 일주동로 8421 (토평동),33.2572426,126.5885177,064-732-1486,한식,소고기모둠구이,영천동,재지정,2018-11-01
서귀포차이나타운,제주특별자치도 서귀포시 동홍로 332 (토평동),33.2770021,126.566832,064-733-2111,중식,중화요리,영천동,재지정,2018-11-01
서귀포흑돈,제주특별자치도 서귀포시 칠십리로 278 (토평동),33.2458603,126.5913123,064-767-9718,한식,흑돼지구이,영천동,재지정,2018-11-01
까망돼지서귀포점,제주특별자치도 서귀포시 일주동로 8524,33.2551463,126.5775949,064-732-6542,한식,흑돼지구이,영천동,재지정,2018-11-01
진미명가식당,제주특별자치도 서귀포시 안덕면 사계남로 167,33.2283602,126.3076807,064-794-3639,일식,활어회,안덕면,재지정,2018-11-01
남경미락,제주특별자치도 서귀포시 안덕면 사계남로 190-7,33.2302184,126.3089494,064-794-0055,일식,활어회,안덕면,재지정,2018-11-01
산방산초가집,제주특별자치도 서귀포시 안덕면 화순해안로 189,33.2455947,126.3387238,064-792-0688,한식,해물전골,안덕면,재지정,2018-11-01
만복해물탕,제주특별자치도 서귀포시 안덕면 산방로 53,33.2434627,126.3270381,064-794-0015,일식,활어회,안덕면,재지정,2018-11-01
만복흑돼지,제주특별자치도 서귀포시 안덕면 산방로 53,33.2434627,126.3270381,064-792-0095,한식,흑돼지구이,안덕면,재지정,2018-11-01
춘심이네,제주특별자치도 서귀포시 안덕면 창천중앙로24번길 16,33.2647393,126.3705871,064-794-4010,한식,통갈치구이,안덕면,재지정,2018-11-01
신옛촌,제주특별자치도 서귀포시 안덕면 사계로 187-6,33.2331246,126.3088085,064-794-1688,한식,갈치조림,안덕면,재지정,2018-11-01
영빈횟집,제주특별자치도 서귀포시 칠십리로 129 (서귀동),33.2432869,126.5679629,064-732-3488,일식,활어회,송산동,재지정,2018-11-01
제주해풍횟집,제주특별자치도 서귀포시 칠십리로 41 (서귀동),33.2410335,126.5617669,064-763-1008,일식,활어회,송산동,재지정,2018-11-01
동해미락,제주특별자치도 서귀포시 칠십리로 133 (서귀동),33.2436722,126.5683032,064-733-5921,일식,활어회,송산동,재지정,2018-11-01
죽림횟집,제주특별자치도 서귀포시 솔동산로 5-1 (서귀동),33.244185,126.5645362,064-733-7688,일식,활어회,송산동,재지정,2018-11-01
선영횟집,제주특별자치도 서귀포시 칠십리로 61-1,33.2399882,126.562989,064-762-4666,일식,활어회,송산동,재지정,2018-11-01
보물섬횟집,제주특별자치도 서귀포시 칠십리로 105 (서귀동),33.2417636,126.5664341,064-732-0009,일식,활어회,송산동,재지정,2018-11-01
김영희동태탕&코다리냉면서귀포점,제주특별자치도 서귀포시 부두로 49 (서귀동),33.2405659,126.564767,064-733-4888,한식,동태탕. 코다리냉면,송산동,재지정,2018-11-01
새만부정,제주특별자치도 서귀포시 칠십리로 135 (서귀동),33.2437362,126.5684642,064- 733-7750,한식,복어요리,송산동,재지정,2018-11-01
해촌,제주특별자치도 서귀포시 성산읍 일출로 220,33.4592266,126.9300635,064-784-8001,일식,해물뚝배기,성산읍,재지정,2018-11-01
오조해녀의 집,제주특별자치도 서귀포시 성산읍 한도로 141-13,33.4698069,126.9223318,064-784-0893,한식,전복죽,성산읍,재지정,2018-11-01
전망좋은집,제주특별자치도 서귀포시 성산읍 일출로 248,33.4606616,126.9325264,064-784-1568,한식,해물전골,성산읍,재지정,2018-11-01
삼수정식당,제주특별자치도 서귀포시 성산읍 동류암로 45,33.448636,126.9157338,064-782-2146,한식,소갈비,성산읍,재지정,2018-11-01
바다풍경,제주특별자치도 서귀포시 성산읍 일출로288번길 17,33.4647124,126.9358557,064-784-9779,일식,해물뚝배기,성산읍,재지정,2018-11-01
제주뚝배기,제주특별자치도 서귀포시 성산읍 일출로 255,33.4611374,126.9330294,064-782-1089,한식,해물뚝배기,성산읍,재지정,2018-11-01
돌하르방뚝배기식당,제주특별자치도 서귀포시 성산읍 일출로 264,33.4611919,126.9339076,064-784-6888,한식,뚝배기,성산읍,재지정,2018-11-01
만조이천쌀밥,제주특별자치도 서귀포시 성산읍 성산중앙로 5,33.4609007,126.9311907,064-784-9794,한식,정식,성산읍,재지정,2018-11-01
제주해룡,제주특별자치도 서귀포시 성산읍 서성일로 753,33.4268965,126.8647243,064-784-8849,한식,고등어조림,성산읍,재지정,2018-11-01
섭지골,제주특별자치도 서귀포시 성산읍 신양로 107,33.4368727,126.9213518,064-784-0014,한식,흑돼지구이,성산읍,재지정,2018-11-01
해마루,제주특별자치도 서귀포시 성산읍 일출로 84,33.4498058,126.9211255,064-782-1150,한식,통갈치요리,성산읍,재지정,2018-11-01
제주고가네,제주특별자치도 서귀포시 성산읍 성산중앙로19번길 14,33.4627317,126.9313694,064-784-5559,한식,갈치조림,성산읍,재지정,2018-11-01
성산포 황금어장,제주특별자치도 서귀포시 성산읍 성산리 135 - 2 ,33.4618899,126.9343422,064-783-6684,한식,뚝배기,성산읍,재지정,2018-11-01
아침바다,제주특별자치도 서귀포시 성산읍 일출로 253,33.4610956,126.9328772,064-782-7501,한식,뚝배기,성산읍,재지정,2018-11-01
해월향,제주특별자치도 서귀포시 성산읍 고성오조로 33,33.4469666,126.9144446,064-784-4080,한식,흑돼지구이,성산읍,재지정,2018-11-01
괸당네식당,제주특별자치도 서귀포시 성산읍 독자봉로 2,33.3832449,126.8768829,064-787-1055,한식,돼지불고기,성산읍,재지정,2018-11-01
옛날옛적,제주특별자치도 서귀포시 성산읍 일주동로 4660,33.4143696,126.8999778,064-784-2252,한식,한정식,성산읍,재지정,2018-11-01
모다정,제주특별자치도 서귀포시 성산읍 성산중앙로37번길 9,33.4636754,126.9323862,064-782-1805,한식,갈치조림,성산읍,재지정,2018-11-01
오름에바당,제주특별자치도 서귀포시 성산읍 한도로 90,33.4684815,126.9171916,064-783-7657,한식,정식,성산읍,재지정,2018-11-01
미향해장국성산점,제주특별자치도 서귀포시 성산읍 일출로 9,33.4475323,126.9137664,064-784-9994,한식,선지해장국,성산읍,재지정,2018-11-01
꽃가람,제주특별자치도 서귀포시 성산읍 고성동서로 73,33.4509234,126.9150116,064-783-3939,한식,돼지국밥,성산읍,재지정,2018-11-01
백록,제주특별자치도 서귀포시 성산읍 섭지코지로 25번길 12,33.4494963,126.920717,064-782-8002,일식,활어회,성산읍,재지정,2018-11-01
티라한식당,제주특별자치도 서귀포시 성산읍 섭지코지로 25번길 41,33.4493736,126.9207077,064-786-5382,한식,정식,성산읍,재지정,2018-11-01
흑돗,제주특별자치도 서귀포시 성산읍 신양로 69,33.4359606,126.9162583,064-782-9275,한식,흑돼지구이,성산읍,재지정,2018-11-01
황실가든,제주특별자치도 서귀포시 중앙로 213 (서홍동),33.2635209,126.5586145,064-733-7330,한식,흑돼지구이.쌈밥,서홍동,재지정,2018-11-01
금강민물장어,제주특별자치도 서귀포시 일주동로 8597 (동홍동),33.2542918,126.5695218,064-733-2119,한식,민물장어구이,동홍동,재지정,2018-11-01
풍차맛집,제주특별자치도 서귀포시 칠십리로 203 (동홍동),33.2469975,126.5745165,064-732-6999,한식,닭해물탕. 해물탕,동홍동,재지정,2018-11-01
서귀포갈비,제주특별자치도 서귀포시 동홍로 42 (동홍동),33.2523729,126.5680111,064-762-7549,한식,양념갈비. 냉면,동홍동,재지정,2018-11-01
제주손칼국수냉면전문점,제주특별자치도 서귀포시 일주동로 8599 (동홍동),33.2544,126.5694385,064-763-3331,한식,칼국수. 흑돼지구이,동홍동,재지정,2018-11-01
조마루뼈다귀서귀포점,제주특별자치도 서귀포시 동홍동로 13. 1층 (동홍동),33.2549348,126.5712993,064-763-4417,한식,뼈다귀해장국,동홍동,재지정,2018-11-01
금상첨화,제주특별자치도 서귀포시 동홍서로112번길 4-16 (동홍동),33.2585557,126.5712638,064-762-5292,한식,오리모듬세트. 생주물럭,동홍동,재지정,2018-11-01
서귀포바당물회,제주특별자치도 서귀포시 태평로512번길 1-4,33.2505549,126.5727622,064-762-8998,한식,물회. 회정식,동홍동,재지정,2018-11-01
서귀포왕돌판구이,제주특별자치도 서귀포시 태평로512번길 1-4,33.2505549,126.5727622,064-733-1777,한식,항정살. 삼겹살구이,동홍동,재지정,2018-11-01
화끈한갈매기,제주특별자치도 서귀포시 중앙로 150번길 4-1,33.2586063,126.5620424,064-763-9292,한식,갈매기살. 소갈비살,동홍동,재지정,2018-11-01
강정장원식당,제주특별자치도 서귀포시 강정동 2787 - 5,33.2615636,126.49447,064-739-9828,한식,해물전골. 흑돼지구이,대천동,재지정,2018-11-01
다금바리횟집,제주특별자치도 서귀포시 대청로 24 2층,33.2541205,126.560076,064-739-1900,일식,활어회. 매운탕,대천동,재지정,2018-11-01
산방식당,제주특별자치도 서귀포시 대정읍 하모이삼로 62,33.223395,126.2543017,064-794-2165,한식,밀냉면,대정읍,재지정,2018-11-01
부두식당,제주특별자치도 서귀포시 대정읍 하모항구로 62,33.2187678,126.2511222,064-794-1223,한식,대방어회. 갈치조림,대정읍,재지정,2018-11-01
옥돔식당,제주특별자치도 서귀포시 대정읍 신영로36번길 62,33.2199418,126.2490877,064-794-8833,한식,보말국. 보말칼국수,대정읍,재지정,2018-11-01
풍천민물장어,제주특별자치도 서귀포시 대정읍 최남단해안로 37,33.2172336,126.2526168,064-792-8434,한식,장어구이,대정읍,재지정,2018-11-01
상호네숯불갈비,제주특별자치도 서귀포시 대정읍 하모이삼로 55,33.2236858,126.2535655,064-794-6242,한식,돼지갈비.돌솥밥정식,대정읍,재지정,2018-11-01
최남단식당,제주특별자치도 서귀포시 대정읍 최남단해안로 40,33.2169105,126.252206,064-794-9191,일식,생선회.조림류,대정읍,재지정,2018-11-01
올랭이와물꾸럭,제주특별자치도 서귀포시 대정읍 신영로 93-5,33.2210562,126.2529388,064-794-5022,한식,오리문어전골,대정읍,재지정,2018-11-01
우사미,제주특별자치도 서귀포시 대정읍 최남단해안로 51,33.2159202,126.2528253,064-794-9933,일식,활어회,대정읍,재지정,2018-11-01
신태백관,제주특별자치도 서귀포시 대정읍 동일하모로 196,33.2256828,126.2520272,064-794-8537,중식,짬뽕.탕수육,대정읍,재지정,2018-11-01
미향해장국모슬포점,제주특별자치도 서귀포시 대정읍 일주서로 2476,33.2402708,126.2507128,064-792-8863,한식,해장국,대정읍,재지정,2018-11-01
모이세해장국모슬포점,제주특별자치도 서귀포시 대정읍 동일하모로 201,33.2260759,126.252796,064-792-5382,한식,해장국,대정읍,재지정,2018-11-01
하영횟집,제주특별자치도 서귀포시 이어도로 1043 (서호동),33.2452354,126.5223527,064-739-8161,일식,활어회. 매운탕,대륜동,재지정,2018-11-01
서귀포흑돼지명가,제주특별자치도 서귀포시 태평로 122 (호근동),33.2440549,126.5364328,064-738-6939,한식,흑돼지구이. 해물찜,대륜동,재지정,2018-11-01
앙끄레국수,제주특별자치도 서귀포시 법환상로2번길 97-18 (법환동),33.2474435,126.5116938,064-739-2999,한식,고기국수. 비빔국수,대륜동,재지정,2018-11-01
월드컵흑돼지,제주특별자치도 서귀포시 월드컵로 74 (법환동),33.2430676,126.5051929,064-738-3292,한식,흑돼지구이. 갈비탕,대륜동,재지정,2018-11-01
우돈가,제주특별자치도 서귀포시 신서귀로 45. 1층 (법환동),33.2528563,126.5102317,064-739-9297,한식,흑돼지구이. 소고기구이,대륜동,재지정,2018-11-01
한가네흑돼지.해물전골전문,제주특별자치도 서귀포시 서호호근로 42,33.2616977,126.5217426,064-733-1188,한식,흑돼지구이,대륜동,재지정,2018-11-01
브런치더썸,제주특별자치도 서귀포시 일주동로 8921,33.2521893,126.5379776,064-738-7100,경양식,브런치. 흑돼지스테이크,대륜동,재지정,2018-11-01
대게나라,제주특별자치도 서귀포시 신서귀로 76번길 2,33.2563473,126.5114836,064-739-2797,한식,대개. 킹크랩,대륜동,재지정,2018-11-01
태흥횟집,제주특별자치도 서귀포시 남원읍 남태해안로 435,33.2818679,126.7461627,064-764-2896,일식,활어회,남원읍,재지정,2018-11-01
육값하네식육가든,제주특별자치도 서귀포시 남원읍 남조로 141,33.3190481,126.7087521,064-764-5053,한식,흑돼지구이,남원읍,재지정,2018-11-01
흑염소마루,제주특별자치도 서귀포시 남원읍 태위로663번길 1-1,33.2790095,126.7173335,064-764-6678,한식,흑염소전골,남원읍,재지정,2018-11-01
남원골포구랑,제주특별자치도 서귀포시 남원읍 남원회관로 46,33.2781148,126.7179244,064-764-5954,일식,활어회,남원읍,재지정,2018-11-01
팔도강산성읍1리복지타운,제주특별자치도 서귀포시 표선면 서성일로 74,33.3986584,126.8026919,064-787-1088,한식,돼지불고기,표선면,지정(신규),2018-11-01
표선일번회센타,제주특별자치도 서귀포시 표선면 표선중앙로 103,33.3259793,126.834993,064-787-7277,일식,활어회,표선면,지정(신규),2018-11-01
대포어촌횟집,제주특별자치도 서귀포시 이어도로 75,33.2386429,126.4311409,064-738-0560,일식,활어회.매운탕,중문동,지정(신규),2018-11-01
24시전주명가콩나물국밥,제주특별자치도 서귀포시 중정로62번길 4,33.2473607,126.5629874,064-762-0650,한식,콩나물국밥.황태콩나물국밥,정방동,지정(신규),2018-11-01
신관식당,제주특별자치도 서귀포시 태평로439번길 42,33.2465881,126.5628434,064-763-0479,일식,활어회.매운탕,정방동,지정(신규),2018-11-01
삼원정본점,제주특별자치도 서귀포시 색달중앙로 44,33.259316,126.4138556,064-738-1077,한식,갈치조림,예래동,지정(신규),2018-11-01
셰프와흑돼지,제주특별자치도 서귀포시 안덕면 한창로110번길 62,33.2752474,126.364145,064-794-7947,한식,돼지고기정식,안덕면,지정(신규),2018-11-01
서귀포걸메도야지,제주특별자치도 서귀포시 일주동로 8733,33.255487,126.5686054,064-762-8534,한식,흑돼지구이,송산동,지정(신규),2018-11-01
성산어멍횟집,제주특별자치도 서귀포시 성산읍 동류암로39번길 9-2,33.4478965,126.9160291,064-738-1177,일식,활어회,성산읍,지정(신규),2018-11-01
성산미소복집,제주특별자치도 서귀포시 성산읍 서성일로 872-6,33.4268965,126.8647243,064-782-5448,한식,복요리.시래기갈치고등어조림,성산읍,지정(신규),2018-11-01
해왓,제주특별자치도 서귀포시 성산읍 신고로 30-1,33.43851,126.9171019,064-782-5689,한식,고등어조림,성산읍,지정(신규),2018-11-01
청솔나무집,제주특별자치도 서귀포시 성산읍 성산중앙로 25,33.4624815,126.9321545,064-783-5070,한식,흑돼지구이,성산읍,지정(신규),2018-11-01
돈코복코,제주특별자치도 서귀포시 성산읍 일주동로 3968,33.471809,126.901538,064-784-6640,한식,흑돼지구이,성산읍,지정(신규),2018-11-01
일산바지락손칼국수,제주특별자치도 서귀포시 성산읍 일주동로 5595,33.344352,126.849207,064-787-7764,한식,바지락칼국수,성산읍,지정(신규),2018-11-01
도도한돈까스,제주특별자치도 서귀포시 중앙로117번길 3,33.2550426,126.5603624,064-787-7277,경양식,돈까스,서홍동,지정(신규),2018-11-01
라라코스트서귀포점,제주특별자치도 서귀포시 일주동로 8670,33.2537883,126.5618273,064-733-3231,경양식,파스타.필라프,동홍동,지정(신규),2018-11-01
풍천연가풍천장어참숯구이,제주특별자치도 서귀포시 중앙로 104,33.2539954,126.5614859,064-733-5222,한식,장어구이. 장어덮밥,동홍동,지정(신규),2018-11-01
스시향,제주특별자치도 서귀포시 대정읍 대한로 33,33.2406592,126.2451919,064-794-7973,일식,활어회,대정읍,지정(신규),2018-11-01
늘품흑돼지,제주특별자치도 서귀포시 이어도로 1048,33.249632,126.4464808,064-739-4994,한식,흑돼지구이. 양념갈비,대륜동,지정(신규),2018-11-01
은빌레식당,제주특별자치도 서귀포시 남원읍 한신로 247-3,33.3117075,126.7168645,064-794-3901,한식,정식,남원읍,지정(신규),2018-11-01
나그네쉼터어시장수산식당,제주특별자치도 서귀포시 남원읍 태위로 48,33.2729546,126.6530154,064-764-1821,일식,활어회,남원읍,지정(신규),2018-11-01
